nom,categorie,type_repas,calories,proteines,glucides,lipides,fibres,sucres,sodium_mg,cholesterol_mg,eau_ml
Egg Drop Soup (1 cup),Meal/Vegetable,Dinner,65.0,5.0,6.0,2.0,0.5,1.0,780.0,50.0,0.0
String Cheese (1 stick),Dairy,Snack,80.0,6.0,1.0,6.0,0.0,0.0,210.0,20.0,0.0
Turkey Burger (1 patty),Protein/Meat,Lunch,160.0,22.0,2.0,8.0,0.0,1.0,400.0,70.0,250.0
Potato Salad (1/2 cup),Meal/Vegetable,Lunch,180.0,2.0,19.0,11.0,2.0,3.0,500.0,10.0,0.0
Cranberry Juice (1 cup),Beverage,Breakfast,130.0,0.0,33.0,0.0,0.0,30.0,10.0,0.0,240.0
Chicken Piccata (1 serving),Meal/Meat,Dinner,350.0,30.0,10.0,20.0,1.0,2.0,600.0,90.0,250.0
Angel Hair Pasta (1 cup),Grain,Dinner,200.0,7.0,42.0,1.0,2.0,1.0,1.0,0.0,0.0
Olive Oil (1 tbsp),Condiment,Dinner,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Garlic (1 clove),Vegetable,Dinner,4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,0.0
Salami (3 slices),Protein/Processed,Snack,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,0.0
Provolone Cheese (1 slice),Dairy,Snack,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,0.0
Ginger Ale (1 can),Beverage,Snack,124.0,0.0,32.0,0.0,0.0,31.0,40.0,0.0,355.0
Shrimp Scampi (1 cup),Meal/Seafood,Dinner,380.0,22.0,40.0,15.0,3.0,3.0,750.0,140.0,0.0
Tiramisu (1 slice),Dessert,Snack,450.0,7.0,42.0,28.0,2.0,25.0,150.0,180.0,250.0
Cereal Bar (Fruit),Snack/Processed,Breakfast,140.0,2.0,30.0,3.0,1.0,15.0,110.0,0.0,250.0
Veal Parmesan (1 serving),Meal/Meat,Dinner,550.0,40.0,30.0,30.0,4.0,7.0,1100.0,130.0,250.0
Spaghetti (side),Grain,Dinner,100.0,3.5,21.0,0.5,1.0,0.5,0.0,0.0,0.0
Hot Chocolate (1 cup),Beverage,Snack,200.0,3.0,30.0,8.0,2.0,25.0,160.0,10.0,240.0
Coconut Shrimp (5 pcs),Meal/Seafood,Dinner,320.0,10.0,25.0,20.0,3.0,8.0,600.0,80.0,0.0
Sweet Chili Sauce (2 tbsp),Condiment,Dinner,70.0,0.0,17.0,0.0,0.5,16.0,450.0,0.0,0.0
White Wine (5 oz glass),Beverage,Dinner,121.0,0.1,3.8,0.0,0.0,1.4,5.0,0.0,0.0
Trail Mix (1/4 cup),Snack/Processed,Snack,190.0,5.0,20.0,12.0,3.0,14.0,50.0,0.0,250.0
Onion Rings (6 rings),Snack/Processed,Snack,280.0,4.0,30.0,16.0,3.0,4.0,500.0,0.0,0.0
Poached Egg (1 large),Protein,Breakfast,72.0,6.3,0.4,4.8,0.0,0.4,140.0,185.0,0.0
Canadian Bacon (2 slices),Protein/Meat,Breakfast,80.0,12.0,1.0,3.0,0.0,1.0,650.0,40.0,0.0
Eggs Benedict (1 serving),Meal/Protein,Breakfast,600.0,25.0,30.0,40.0,3.0,4.0,1100.0,450.0,250.0
Hollandaise Sauce (2 tbsp),Condiment,Breakfast,110.0,1.0,0.5,12.0,0.0,0.2,150.0,50.0,0.0
Spinach Artichoke Dip (1/4 cup),Snack/Processed,Snack,160.0,5.0,6.0,14.0,2.0,2.0,350.0,30.0,0.0
Tortilla Chips (1 oz),Snack/Processed,Snack,140.0,2.0,19.0,7.0,2.0,0.5,120.0,0.0,0.0
Chicken Kebab (2 skewers),Meal/Meat,Dinner,280.0,30.0,8.0,14.0,3.0,4.0,500.0,85.0,250.0
Bell Peppers & Onions (sautéed),Vegetable,Dinner,60.0,1.5,10.0,2.0,3.0,6.0,30.0,0.0,0.0
Hummus Wrap (large),Meal/Vegetarian,Lunch,450.0,15.0,60.0,18.0,12.0,5.0,800.0,0.0,500.0
Kombucha (1 cup),Beverage,Snack,30.0,0.0,7.0,0.0,0.0,6.0,10.0,0.0,240.0
Beef Stroganoff (1.5 cups),Meal/Pasta,Dinner,550.0,30.0,40.0,28.0,4.0,6.0,900.0,100.0,0.0
Egg Noodles (1 cup cooked),Grain,Dinner,220.0,8.0,40.0,3.0,2.0,2.0,20.0,50.0,0.0
Cottage Cheese (1 cup low fat),Dairy,Lunch,160.0,28.0,6.0,2.5,0.0,4.0,820.0,10.0,250.0
Tomato (1 medium sliced),Vegetable,Lunch,22.0,1.1,4.8,0.2,1.5,3.2,6.0,0.0,0.0
Black Pepper (1 tsp),Condiment,Lunch,6.0,0.2,1.5,0.1,0.6,0.0,0.0,0.0,0.0
Chocolate Pudding (1/2 cup),Dessert,Snack,150.0,2.0,28.0,4.0,2.0,22.0,130.0,2.0,0.0
Mackerel (3oz cooked),Protein/Fish,Dinner,175.0,16.0,0.0,12.0,0.0,0.0,75.0,65.0,0.0
Collard Greens (1 cup cooked),Vegetable,Dinner,60.0,5.0,10.0,1.0,7.0,1.0,40.0,0.0,0.0
Ham (3oz deli sliced),Protein/Meat,Lunch,110.0,16.0,2.0,4.0,0.0,1.5,950.0,45.0,0.0
Swiss Cheese (1 slice),Dairy,Lunch,106.0,7.6,1.0,8.0,0.0,0.4,54.0,26.0,0.0
Rye Bread (1 slice),Grain,Lunch,83.0,2.7,15.5,1.1,1.9,1.2,170.0,0.0,0.0
Potato Leek Soup (1 cup),Meal/Vegetable,Lunch,180.0,4.0,25.0,7.0,3.0,4.0,650.0,15.0,250.0
Brie Cheese (1 oz),Dairy,Snack,95.0,6.0,0.1,7.9,0.0,0.1,178.0,28.0,0.0
Water Cracker (5 crackers),Grain/Processed,Snack,70.0,1.5,12.0,1.5,0.5,0.0,150.0,0.0,0.0
Grapefruit (1/2 medium),Fruit,Breakfast,52.0,1.1,13.2,0.2,2.0,8.5,0.0,0.0,0.0
Veggie Straws (1 oz),Snack/Processed,Snack,130.0,1.0,17.0,7.0,1.0,1.0,220.0,0.0,0.0
Fish Tacos (2 tacos),Meal/Fish,Dinner,420.0,25.0,40.0,18.0,6.0,5.0,700.0,60.0,500.0
Cabbage Slaw (side),Vegetable,Dinner,60.0,1.0,8.0,3.0,2.0,5.0,120.0,5.0,0.0
Lime (juice of 1),Condiment,Dinner,11.0,0.2,3.7,0.0,0.4,0.7,1.0,0.0,0.0
Beer (12 oz light),Beverage,Snack,103.0,0.9,5.8,0.0,0.0,0.3,10.0,0.0,355.0
Danish (Cheese 1 medium),Dessert,Breakfast,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,250.0
Kefir (Plain 1 cup),Beverage/Dairy,Breakfast,104.0,10.0,10.0,2.5,0.0,9.0,100.0,10.0,240.0
Gnocchi (1 cup),Meal/Pasta,Dinner,210.0,4.5,45.0,1.5,3.0,2.0,480.0,0.0,0.0
Pesto Sauce (1/4 cup),Condiment,Dinner,260.0,5.0,4.0,26.0,2.0,1.0,550.0,5.0,0.0
Pine Nuts (1 tbsp),Nut,Dinner,95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,0.0
Chai Latte (12 oz),Beverage,Snack,190.0,7.0,32.0,4.0,1.0,30.0,105.0,15.0,355.0
Manicotti (2 shells cheese),Meal/Pasta,Dinner,380.0,20.0,35.0,18.0,4.0,7.0,650.0,60.0,0.0
Italian Sausage (1 link),Protein/Meat,Dinner,200.0,12.0,3.0,16.0,0.0,1.0,550.0,50.0,0.0
Jicama (1 cup sticks),Vegetable,Snack,46.0,0.9,10.6,0.1,5.8,2.1,5.0,0.0,0.0
Chili Powder (1 tsp),Condiment,Snack,8.0,0.3,1.4,0.4,0.9,0.2,10.0,0.0,0.0
Ants on a Log (4 pcs),Snack,Snack,180.0,6.0,12.0,12.0,3.0,7.0,120.0,0.0,250.0
Split Pea Soup (1 cup),Meal/Legume,Lunch,180.0,11.0,30.0,2.0,10.0,6.0,700.0,5.0,250.0
Ham & Cheese Croissant,Meal/Processed,Breakfast,400.0,15.0,35.0,22.0,2.0,6.0,750.0,60.0,250.0
Espresso (double shot),Beverage,Breakfast,5.0,0.5,0.0,0.1,0.0,0.0,1.0,0.0,60.0
Ricotta Cheese (1/4 cup),Dairy,Dinner,85.0,5.5,2.5,6.0,0.0,1.0,50.0,24.0,0.0
Chicken & Rice Soup (1 can),Meal/Processed,Lunch,130.0,7.0,18.0,3.0,2.0,2.0,850.0,15.0,250.0
Salt (1/4 tsp),Condiment,Dinner,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0
Guava,Fruit,Snack,68.0,2.6,14.3,0.9,5.4,8.9,3.0,0.0,0.0
Club Sandwich,Meal/Processed,Lunch,580.0,35.0,40.0,30.0,5.0,7.0,1300.0,95.0,500.0
Pickle (1 whole dill),Vegetable,Snack,17.0,0.8,3.7,0.2,1.5,1.7,1200.0,0.0,0.0
Turkey Chili (1 cup),Meal/Meat,Dinner,250.0,22.0,25.0,7.0,8.0,6.0,750.0,50.0,250.0
Sour Cream (2 tbsp),Condiment/Dairy,Dinner,60.0,0.8,1.3,5.8,0.0,0.8,25.0,12.0,0.0
Shredded Cheese (Cheddar 1/4 cup),Dairy,Dinner,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,0.0
Matcha Latte (12 oz),Beverage,Snack,180.0,6.0,28.0,5.0,2.0,25.0,90.0,20.0,355.0
Chocolate Donut (1 medium),Dessert,Breakfast,300.0,4.0,35.0,17.0,2.0,18.0,230.0,20.0,0.0
Tuna Melt,Meal/Processed,Lunch,450.0,25.0,32.0,25.0,3.0,4.0,900.0,50.0,250.0
Apple Cider (1 cup),Beverage,Snack,117.0,0.1,29.0,0.3,0.5,27.0,10.0,0.0,240.0
Beef Burrito (large),Meal/Processed,Dinner,650.0,30.0,70.0,28.0,10.0,5.0,1400.0,70.0,500.0
Pico de Gallo (1/4 cup),Condiment,Dinner,15.0,0.5,3.0,0.0,1.0,2.0,200.0,0.0,0.0
Corn Tortilla (1 medium),Grain,Dinner,52.0,1.4,11.2,0.7,1.5,0.2,4.0,0.0,0.0
Mussels (3oz steamed),Protein/Seafood,Dinner,146.0,20.0,6.0,4.0,0.0,0.0,310.0,48.0,0.0
White Wine Sauce (1/4 cup),Condiment,Dinner,80.0,1.0,4.0,6.0,0.5,2.0,300.0,5.0,0.0
French Bread (2 slices),Grain,Dinner,180.0,6.0,36.0,1.0,2.0,2.0,380.0,0.0,0.0
Blackberries (1 cup),Fruit,Snack,62.0,2.0,13.8,0.7,7.6,4.9,1.0,0.0,0.0
Cheese Danish,Dessert,Breakfast,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,250.0
Chicken Salad Sandwich,Meal/Processed,Lunch,420.0,20.0,35.0,20.0,3.0,5.0,850.0,60.0,250.0
Soyrizo (2 oz),Protein/Vegetarian,Breakfast,140.0,10.0,6.0,9.0,3.0,2.0,450.0,0.0,0.0
Hash Browns (1 cup),Vegetable,Breakfast,330.0,3.0,38.0,19.0,3.0,1.0,550.0,0.0,0.0
Ketchup (1 packet),Condiment,Breakfast,10.0,0.1,2.5,0.0,0.1,2.0,90.0,0.0,0.0
Philly Cheesesteak (6 inch),Meal/Processed,Lunch,500.0,25.0,40.0,28.0,3.0,5.0,1100.0,70.0,500.0
Cheese Whiz (2 tbsp),Condiment/Processed,Lunch,90.0,4.0,3.0,7.0,0.0,2.0,540.0,20.0,0.0
Onions (sautéed 1/4 cup),Vegetable,Lunch,30.0,0.5,5.0,1.0,1.0,3.0,5.0,0.0,0.0
Raspberries (1 cup),Fruit,Snack,64.0,1.5,14.7,0.8,8.0,5.4,1.0,0.0,0.0
Cheesy Grits (1 cup),Meal/Grain,Breakfast,210.0,6.0,34.0,6.0,2.0,1.0,550.0,20.0,0.0
Collard Greens (with ham hock),Vegetable,Dinner,180.0,10.0,15.0,9.0,8.0,3.0,600.0,30.0,0.0
Fried Okra (1 cup),Vegetable,Dinner,220.0,4.0,25.0,12.0,5.0,3.0,450.0,10.0,0.0
Sweet Tea (16 oz),Beverage,Lunch,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,473.0
Gyro (1 sandwich),Meal/Meat,Dinner,600.0,25.0,55.0,30.0,5.0,6.0,1200.0,80.0,250.0
Pita Bread (White 1 large),Grain,Dinner,220.0,7.0,45.0,2.0,2.0,2.0,440.0,0.0,0.0
Tzatziki Sauce (2 tbsp),Condiment,Dinner,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,0.0
Baklava (1 piece),Dessert,Snack,280.0,3.0,30.0,18.0,2.0,20.0,80.0,10.0,0.0
Coconut (shredded 1/4 cup),Fruit,Snack,110.0,1.0,4.5,10.5,2.0,1.5,3.0,0.0,0.0
S'more (1 serving),Dessert,Snack,140.0,2.0,25.0,4.0,1.0,15.0,90.0,0.0,0.0
Graham Cracker (1 large rectangle),Grain/Processed,Snack,60.0,1.0,11.0,1.5,0.5,4.0,70.0,0.0,0.0
Marshmallow (1 large),Dessert,Snack,23.0,0.1,5.8,0.0,0.0,4.0,5.0,0.0,0.0
Chocolate (Hershey's bar 1 segment),Dessert,Snack,25.0,0.3,3.0,1.5,0.2,2.8,4.0,1.0,0.0
Chicken Parm Sandwich,Meal/Processed,Lunch,650.0,40.0,55.0,30.0,6.0,9.0,1400.0,100.0,500.0
Mozzarella (1 slice),Dairy,Lunch,80.0,6.0,1.0,6.0,0.0,0.5,150.0,20.0,0.0
Bread Roll (hoagie),Grain,Lunch,200.0,6.0,38.0,2.0,2.0,3.0,400.0,0.0,0.0
Artichoke (1 medium steamed),Vegetable,Dinner,60.0,4.2,13.4,0.2,6.9,1.2,112.0,0.0,0.0
Mayonnaise (1 tbsp for dipping),Condiment,Dinner,90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,0.0
Calamari (fried 3oz),Meal/Seafood,Dinner,150.0,13.0,8.0,7.0,1.0,1.0,600.0,220.0,0.0
Lemon Wedge (for calamari),Condiment,Dinner,3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,0.0
Root Beer (1 can),Beverage,Snack,150.0,0.0,40.0,0.0,0.0,40.0,55.0,0.0,355.0
Chicken McNuggets (6 pcs),Meal/Processed,Lunch,270.0,15.0,16.0,16.0,1.0,0.0,500.0,40.0,0.0
BBQ Sauce (2 tbsp),Condiment,Lunch,60.0,0.5,15.0,0.0,0.5,12.0,350.0,0.0,0.0
Honey (1 tbsp),Condiment,Breakfast,64.0,0.1,17.3,0.0,0.0,17.2,1.0,0.0,0.0
Tofu Scramble,Meal/Vegetarian,Breakfast,250.0,20.0,8.0,16.0,4.0,3.0,300.0,0.0,250.0
Turmeric (1 tsp),Condiment,Breakfast,9.0,0.3,1.9,0.1,0.7,0.1,1.0,0.0,0.0
Nutritional Yeast (1 tbsp),Condiment,Breakfast,20.0,3.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0
Seitan (3oz),Protein/Vegetarian,Dinner,90.0,18.0,4.0,1.0,1.0,1.0,300.0,0.0,0.0
Vegetable Broth (1 cup),Beverage,Dinner,15.0,1.0,3.0,0.0,1.0,2.0,550.0,0.0,240.0
Mashed Cauliflower (1 cup),Vegetable,Dinner,140.0,5.0,12.0,8.0,5.0,4.0,400.0,25.0,0.0
Peanut Sauce (2 tbsp),Condiment,Dinner,80.0,2.0,4.0,6.0,1.0,3.0,250.0,0.0,0.0
Tempeh (3oz),Protein/Vegetarian,Lunch,160.0,16.0,8.0,9.0,5.0,0.0,10.0,0.0,0.0
Sauerkraut (1/2 cup),Vegetable,Lunch,14.0,0.7,3.1,0.1,2.0,1.2,468.0,0.0,0.0
Rye Crispbread (2 slices),Grain,Lunch,70.0,2.0,14.0,0.5,3.0,0.0,120.0,0.0,0.0
Capers (1 tbsp),Condiment,Dinner,2.0,0.2,0.4,0.1,0.3,0.1,200.0,0.0,0.0
Chicken Liver (2 oz cooked),Protein/Meat,Dinner,91.0,13.6,0.6,3.6,0.0,0.0,50.0,320.0,0.0
Onion (1/2 cup raw chopped),Vegetable,Dinner,32.0,0.9,7.5,0.1,1.4,3.8,3.0,0.0,0.0
Bok Choy (1 cup steamed),Vegetable,Dinner,10.0,1.5,2.0,0.1,1.0,1.0,40.0,0.0,0.0
Gummy Bears (10 pcs),Snack/Dessert,Snack,100.0,2.0,22.0,0.0,0.0,15.0,10.0,0.0,0.0
Whiskey (1.5 oz shot),Beverage,Snack,105.0,0.0,0.1,0.0,0.0,0.1,1.0,0.0,0.0
Dates (2 medium Medjool),Fruit,Snack,133.0,0.8,36.0,0.1,3.2,32.0,1.0,0.0,0.0
Tahini (1 tbsp),Condiment,Snack,89.0,2.6,3.2,8.0,1.4,0.1,17.0,0.0,0.0
Chickpeas (1/2 cup canned),Legume,Lunch,135.0,7.0,22.0,2.0,6.0,3.0,250.0,0.0,0.0
Lettuce (Romaine 2 cups),Vegetable,Lunch,16.0,1.0,3.0,0.3,2.0,1.0,10.0,0.0,0.0
Italian Dressing (2 tbsp),Condiment,Lunch,70.0,0.0,3.0,7.0,0.0,2.0,300.0,0.0,0.0
Croutons (1/4 cup),Grain,Lunch,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,0.0
Turkey Sausage (1 patty),Protein/Meat,Breakfast,70.0,9.0,1.0,4.0,0.0,0.5,280.0,35.0,0.0
Maple Syrup (1 tbsp),Condiment,Breakfast,52.0,0.0,13.5,0.0,0.0,12.0,1.0,0.0,0.0
Quesadilla (Cheese 1 medium),Meal/Processed,Lunch,400.0,18.0,35.0,22.0,3.0,2.0,700.0,50.0,250.0
Sour Cream (1 tbsp),Condiment/Dairy,Lunch,30.0,0.4,0.6,2.9,0.0,0.4,12.0,6.0,0.0
Salsa (2 tbsp),Condiment,Lunch,10.0,0.5,2.0,0.0,0.5,1.0,120.0,0.0,0.0
Red Cabbage (1 cup raw),Vegetable,Dinner,22.0,1.1,5.2,0.1,1.6,2.8,8.0,0.0,0.0
Duck (3oz roasted),Protein/Meat,Dinner,285.0,16.0,0.0,24.0,0.0,0.0,65.0,72.0,0.0
Orange Sauce (1/4 cup for duck),Condiment,Dinner,90.0,0.5,22.0,0.0,0.5,20.0,200.0,0.0,0.0
Wild Rice (1 cup cooked),Grain,Dinner,166.0,6.5,35.0,0.6,3.0,1.2,5.0,0.0,0.0
Cupcake (Vanilla 1 medium),Dessert,Snack,240.0,2.0,35.0,11.0,1.0,25.0,200.0,30.0,0.0
Frosting (Vanilla 2 tbsp),Condiment,Snack,140.0,0.0,22.0,6.0,0.0,22.0,65.0,0.0,0.0
Hot Sauce (1 tsp Tabasco),Condiment,Breakfast,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
Bison Burger (1 patty),Protein/Meat,Lunch,150.0,22.0,0.0,7.0,0.0,0.0,65.0,70.0,250.0
Pretzel Bun (1 medium),Grain,Lunch,230.0,8.0,45.0,2.0,2.0,4.0,550.0,0.0,0.0
Spicy Mustard (1 tbsp),Condiment,Lunch,10.0,0.5,1.0,0.5,0.5,0.0,120.0,0.0,0.0
Pasta Salad (1 cup),Meal/Pasta,Lunch,280.0,8.0,30.0,14.0,4.0,5.0,450.0,10.0,0.0
Salami (3 slices),Protein/Processed,Lunch,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,0.0
Pepperoncini (2 peppers),Vegetable,Lunch,10.0,0.5,2.0,0.0,1.0,1.0,350.0,0.0,0.0
Coconut Milk (1/4 cup canned),Condiment,Dinner,111.0,1.1,2.9,11.6,0.5,1.5,8.0,0.0,0.0
Green Curry Paste (1 tbsp),Condiment,Dinner,30.0,0.5,2.0,2.5,1.0,1.0,400.0,0.0,0.0
Chicken Thigh (1 roasted),Protein/Meat,Dinner,210.0,24.0,0.0,13.0,0.0,0.0,90.0,120.0,0.0
Jasmine Rice (1 cup cooked),Grain,Dinner,205.0,4.3,45.0,0.4,0.6,0.0,2.0,0.0,0.0
Thai Iced Tea (1 glass),Beverage,Snack,250.0,3.0,35.0,12.0,0.0,33.0,50.0,35.0,300.0
Papaya (1 cup cubes),Fruit,Snack,62.0,0.6,15.7,0.4,2.5,11.0,12.0,0.0,0.0
Lime Juice (1 tbsp),Condiment,Snack,4.0,0.1,1.3,0.0,0.1,0.2,0.0,0.0,0.0
Macaroni Salad (1 cup),Meal/Pasta,Lunch,380.0,8.0,30.0,25.0,3.0,6.0,750.0,20.0,0.0
Celery (1 stalk),Vegetable,Lunch,6.0,0.3,1.2,0.1,0.6,0.5,32.0,0.0,0.0
Blue Cheese (1 oz),Dairy,Snack,100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,0.0
Dark Chocolate (1 oz 70%),Dessert,Snack,170.0,2.2,13.0,12.0,3.0,7.0,5.0,0.0,0.0
Acai Bowl (1 serving),Meal/Fruit,Breakfast,350.0,5.0,60.0,12.0,10.0,30.0,40.0,0.0,250.0
Granola (1/4 cup topping),Grain,Breakfast,120.0,3.0,15.0,6.0,3.0,7.0,20.0,0.0,0.0
Coconut Flakes (1 tbsp topping),Fruit,Breakfast,35.0,0.3,1.5,3.3,0.7,0.5,1.0,0.0,0.0
Honey (1 tsp drizzle),Condiment,Breakfast,21.0,0.0,5.8,0.0,0.0,5.8,0.0,0.0,0.0
Shrimp Cocktail (4 large shrimp),Protein/Seafood,Snack,60.0,10.0,1.0,1.0,0.0,0.5,300.0,110.0,0.0
Cocktail Sauce (2 tbsp),Condiment,Snack,30.0,0.5,7.0,0.0,0.5,5.0,450.0,0.0,0.0
Pork Bun (1 steamed),Meal/Processed,Lunch,220.0,8.0,30.0,8.0,2.0,6.0,400.0,20.0,0.0
Dim Sum (Siu Mai 3 pcs),Meal/Processed,Lunch,180.0,12.0,10.0,10.0,2.0,1.0,550.0,60.0,0.0
Soy Sauce (1 tbsp for dipping),Condiment,Lunch,9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,0.0
Oyster (1 medium raw),Protein/Seafood,Dinner,8.0,1.0,0.5,0.2,0.0,0.0,50.0,10.0,0.0
Mignonette Sauce (1 tbsp),Condiment,Dinner,5.0,0.0,1.0,0.0,0.0,0.5,30.0,0.0,0.0
Beef Pho (1 large bowl),Meal/Soup,Dinner,450.0,30.0,55.0,12.0,4.0,5.0,1500.0,60.0,500.0
Bean Sprouts (1/4 cup garnish),Vegetable,Dinner,8.0,0.8,1.5,0.1,0.4,1.0,1.0,0.0,0.0
Thai Basil (garnish),Condiment,Dinner,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lime Wedge (garnish),Condiment,Dinner,3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,0.0
Jalapeno (1 tbsp sliced),Vegetable,Dinner,4.0,0.1,0.8,0.1,0.4,0.5,1.0,0.0,0.0
Hoisin Sauce (1 tbsp),Condiment,Dinner,35.0,0.3,8.0,0.2,0.1,5.0,220.0,0.0,0.0
Sriracha (1 tsp),Condiment,Dinner,5.0,0.1,1.0,0.1,0.1,0.8,80.0,0.0,0.0
Crepe (1 plain),Grain,Breakfast,90.0,3.5,14.0,2.0,0.5,3.0,100.0,25.0,0.0
Nutella (1 tbsp),Condiment,Breakfast,100.0,1.5,11.0,6.0,1.0,10.0,10.0,0.0,0.0
Powdered Sugar (1 tsp),Condiment,Breakfast,10.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0
Sake (3 oz),Beverage,Dinner,117.0,0.4,3.8,0.0,0.0,0.0,4.0,0.0,0.0
Edamame (in pod 1 cup),Legume,Snack,120.0,11.0,9.0,5.0,5.0,2.0,9.0,0.0,250.0
Sea Salt (coarse 1/4 tsp),Condiment,Snack,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0
Biryani (Chicken 1.5 cups),Meal/Meat,Dinner,520.0,28.0,60.0,18.0,5.0,6.0,900.0,75.0,0.0
Raita (2 tbsp),Condiment/Dairy,Dinner,30.0,1.0,2.0,2.0,0.5,1.5,100.0,5.0,0.0
Lassi (Mango 1 cup),Beverage,Snack,180.0,5.0,30.0,4.0,1.0,28.0,60.0,15.0,240.0
Samosa (1 piece vegetable),Snack/Processed,Snack,130.0,2.0,18.0,6.0,2.0,1.0,300.0,0.0,0.0
Tamarind Chutney (1 tbsp),Condiment,Snack,20.0,0.1,5.0,0.0,0.5,4.0,120.0,0.0,0.0
Mint Chutney (1 tbsp),Condiment,Snack,5.0,0.2,0.5,0.0,0.3,0.2,150.0,0.0,0.0
Pani Puri (6 pcs),Snack/Processed,Snack,200.0,4.0,35.0,5.0,3.0,2.0,400.0,0.0,0.0
Passion Fruit (1 fruit),Fruit,Snack,17.0,0.4,4.2,0.1,1.9,2.0,5.0,0.0,0.0
Kimchi Jjigae (1 bowl),Meal/Soup,Dinner,350.0,15.0,20.0,22.0,5.0,6.0,1200.0,30.0,500.0
Silken Tofu (3oz in soup),Protein/Vegetarian,Dinner,45.0,5.0,2.0,2.5,0.5,1.0,5.0,0.0,0.0
Pork Belly (1 oz in soup),Protein/Meat,Dinner,145.0,3.0,0.0,15.0,0.0,0.0,150.0,20.0,0.0
Gochugaru (1 tsp),Condiment,Dinner,10.0,0.3,1.8,0.3,0.5,0.3,1.0,0.0,0.0
Gochujang (1 tbsp),Condiment,Dinner,30.0,0.5,6.0,0.0,0.5,4.0,200.0,0.0,0.0
Sesame Oil (1 tsp),Condiment,Dinner,40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
Fish Sauce (1 tsp),Condiment,Dinner,5.0,0.4,0.5,0.0,0.0,0.4,450.0,0.0,0.0
Green Onion (1 tbsp garnish),Vegetable,Dinner,3.0,0.2,0.7,0.0,0.2,0.2,0.0,0.0,0.0
Kombucha (16 oz),Beverage,Snack,60.0,0.0,14.0,0.0,0.0,12.0,20.0,0.0,473.0
Beef Wellington (1 slice),Meal/Meat,Dinner,600.0,30.0,35.0,38.0,4.0,4.0,850.0,100.0,0.0
Pate (Mushroom 2 tbsp),Condiment,Dinner,70.0,1.0,2.0,7.0,1.0,1.0,100.0,0.0,0.0
Puff Pastry (1 oz wrapper),Grain,Dinner,115.0,1.5,9.0,8.0,0.5,0.0,100.0,0.0,0.0
Prosciutto (1 slice),Protein/Meat,Dinner,35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,0.0
Asparagus (6 spears roasted),Vegetable,Dinner,40.0,4.0,4.0,2.0,3.0,2.0,150.0,0.0,0.0
Hollandaise Sauce (1 tbsp),Condiment,Dinner,55.0,0.5,0.2,6.0,0.0,0.1,75.0,25.0,0.0
Flan (1 slice),Dessert,Snack,220.0,6.0,35.0,7.0,0.0,33.0,80.0,90.0,0.0
Caramel Sauce (1 tbsp),Condiment,Snack,60.0,0.0,13.0,1.0,0.0,12.0,30.0,5.0,0.0
Congee (1 cup plain),Meal/Grain,Breakfast,130.0,2.5,28.0,1.0,1.0,0.5,300.0,0.0,0.0
Pickled Radish (1/4 cup),Vegetable,Breakfast,15.0,0.5,3.0,0.0,1.0,2.0,250.0,0.0,0.0
Pork Floss (1 tbsp),Protein/Meat,Breakfast,50.0,4.0,3.0,2.0,0.0,2.5,150.0,10.0,0.0
Century Egg (1 egg),Protein,Breakfast,100.0,7.0,1.0,7.0,0.0,0.5,300.0,200.0,0.0
Arugula (2 cups),Vegetable,Lunch,10.0,1.0,0.8,0.2,0.4,0.4,6.0,0.0,0.0
Goat Cheese (1 oz),Dairy,Lunch,103.0,6.1,0.1,8.5,0.0,0.1,146.0,22.0,0.0
Beets (1/2 cup roasted),Vegetable,Lunch,30.0,0.8,6.8,0.1,1.4,5.8,50.0,0.0,0.0
Walnuts (1 tbsp chopped),Nut,Lunch,46.0,1.1,1.0,4.6,0.5,0.2,0.0,0.0,0.0
